A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
Beckham	[0]/'bekhAm	n. 贝克汉姆（男子名）
Bedford	[3A]/'bedfEd/	n. 贝德福德（英格兰一郡及该郡之首府）；贝德福德（美国俄亥俄州城市）；贝德福德（男子名）
Beethoven	[3A]/'bei,tEuvEn/	n. 贝多芬（德国作曲家）
Beijing	[0]/'bei'dGiN	n. 北京（等于Peking或Pekin）
Bein	[0]/bi:n	n. 拜因（姓氏）
Belfast	[3A]/,bel'fB:st/	n. 贝尔法斯特（北爱尔兰首府）
Belgian	[3A]/'beldGEn/	adj. 比利时的
Belgium	[3A]/'beldGEm/	n. 比利时（西欧国家，首都布鲁塞尔Brussels）
Belgrade	[3A]/,bel'ɡreid/	n. 贝尔格莱德（南斯拉夫首都）
Belize	[3A]/be'li:z/	n. 伯利兹城（拉丁美洲国家）
Bella	[3A]/'belE/	n. 贝拉（女子名，等于Arabella，Isabella）
Bellatrix	[0]/'belEtriks	n. [天] 参宿五（位于猎户座）
Bello	[0]/'bejO:	n. 贝罗（姓氏）
Belmont	[0]/bel'mOnt	n. 贝尔蒙（一种烟的名字）；贝尔蒙特（酒店名）
Ben	[0]/bCn	n. 本（男子名）；（苏格兰）内室
Benares	[3A]/bE'nB:riz/	n. 贝拿勒斯（印度东北部城市瓦腊纳西Varanasi的旧称）；贝拿勒斯银丝绸
Benedict	[3A]/'benidikt/	n. 本尼迪克特（男子名）
Benelux	[3A]/'benilRks/	n. 比荷卢经济联盟（比利时、荷兰、卢森堡）
Bengal	[3A]//bCN'gOl	n. 孟加拉（位于亚洲）
Beni	[3A]/'beni/	n. 安良城红（日本歌手名）；贝尼省（玻利维亚的一个省）；贝尼酒吧（上海市的一家酒吧名）
Benjamin	[3A]//'bCndGEmEn	n. 本杰明（男子名）；受宠爱的幼子
Bennett	[3A]/'benit/	n. 班尼特（男子名，等于Benedict）
Benson	[0]/'bCNsn; 'bensn	n. 班森（男子名）
Bentham	[3A]/'bentEm/	n. 边沁（英国哲学家）
Benton	[3A]/ben'tEn/	n. 本顿（姓氏）
Benz	[3A]/benz/	n. 奔驰（世界著名汽车品牌）
Beowulf	[3A]/'beiEuwulf/	n. 贝奥武夫（有记载的最早的一部英国文学作品）
Berg	[3A]/bHDg/bKg	n. 冰山
Bergen	[3A]/'bHDg(E)n/	n. 卑尔根市（位于挪威西南部）
Bergson	[3A]/'bE:gsEn/	n. 柏格森（法国哲学家）
Berkshire	[3A]/'bE:kFiE/	n. 伯克郡（英国南部一郡）；黑白色的猪
Berlin	[3A]//bK'lIn	n. 柏林
Bermuda	[3A]//bM'mjJdE	n. 百慕大群岛（北大西洋西部群岛）
Bern	[3A]//bKn	n. 伯尔尼（瑞士首都，等于Berne）
Bernard	[3A]/'bE:nEd; bE'nB:d/	n. 伯纳德（男子名）
Berne	[0]/bE:n	n. 伯尔尼（瑞士首都）
Bernice	[3A]/bE:'nis/	n. 柏妮丝（女子名）
Bernie	[0]/'bE:ni	n. 伯尼（男子名）；可卡因（等于cocaine）
Bert	[0]/bE:t	n. 伯特（男子名，等于Burt）
Bertram	[3A]/'bE:trEm/	n. 伯特伦（男子名）
Bess	[3A]/bes/	n. 贝丝（女子名、上帝就是誓约之义）
Bessie	[0]/'besi	n. 贝茜（女子名）
Beth	[0]/beiZ; beZ	n. 贝丝（女子名，等于Elizabeth）
Bethlehem	[3A]//'bCZlEhCm	n. 伯利恒（耶稣降生地）
Betsy	[0]/'betsi	n. 贝琪（女子名，等于Elizabeth）
Betty	[3A]/'beti/	n. 贝蒂（女子名）
Bever	[0]/'bi:vE	n. 毕弗（姓氏）；瑞士格劳宾登州的一个小镇
Beverly	[3A]/'bevEli/	n. 贝弗莉（女子名）
Bhopal	[3A]/bEu'pB:l/	n. 博帕尔（印度城市名）
Bhutan	[3A]/bu:'tAn/	n. 不丹（印度东北一国家）
Bi	[0]/baI	symb. 元素铋（bismuth）的符号
Biblical	[3A]/'bIblIk(E)l/'bIblIkl	adj. 圣经的；依据圣经的（等于biblical）
Bilbao	[3A]/bil'bB:Eu/	n. 毕尔巴鄂（地名，西班牙港口）
Billie	[3A]/'bili/	n. 比利（女子名）
Bini	[3A]/bi'ni:/	比尼人
Birmingham	[3A]/'bE:miNEm/	n. 伯明翰（英国一座城市）
Bissau	[3A]/bi'sau/	n. 比绍（几内亚比绍共和国的首都）
Blackburn	[3A]/'blAkbE:n/	n. 布莱克本（英国地名）；布力般流浪（足球球会名称）
Blackpool	[3A]/'blAkpu:l/	n. 黑潭（英国城市名）
Blair	[0]/blεE	n. 布莱尔（男子名）
Blake	[3A]/bleik/	n. 布莱克（英国作家）
Blanche	[3A]/'bla:ntF/	n. 布兰奇（女子名）
Bloch	[3A]/blOk/	n. 布洛赫（人名）
Bloomfield	[3A]/'blu:mfi:ld/	n. 布洛姆菲尔德（姓氏，美国语言学家教育家）
Bobbie	[0]/'bObi	n. 博比（女子名，等于Barbara，Roberta）；博比（男子名，等于Bob）
Boeing	[0]/'bEuiN	n. 波音（客机）
Bogota	[0]/bEugE'ta	n. 波哥大（哥伦比亚首都）
Bohemia	[3A]/bEu'hi:miE/	n. 波希米亚
Bohemian	[3A]//bo'himIEn	adj. 波希米亚的；放荡不羁的；波希米亚语的
Bohr	[3A]/bO:/	n. 波尔（丹麦物理学家）
Boise	[3A]/'bOisi/	n. 博伊西（美国爱达荷州首府）
Bolivia	[3A]//bE'lIvIE	n. 玻利维亚（南美洲西部国家）
Bolivian	[0]/bE'liviEn	adj. 玻利维亚的；玻利维亚人的
Bollywood	[0]/'bOli:wud	n. 宝莱坞（位于印度孟买的电影制作中心）
Bombay	[3A]/bOm'bei/	n. 孟买
Bonn	[3A]//	n. 波恩
Boolean	[0]/'bJlIEn	adj. 布尔数学体系的
Boreas	[3A]/'bOriAs/	n. 北风之神；朔风；北风
Borg	[0]/bO:g	n. 柏格（男子名）
Boris	[3A]/'bOris/	n. 鲍里斯（男子名）
Borneo	[3A]/'bO:niEu/	n. 婆罗洲（加里曼丹的旧称）
Bors	[3A]/bO:s/	n. 鲍斯爵士（圆桌骑士之一，兰斯洛特爵士之侄）
Bosch	[3A]/bO:F/	n. 博世（德国公司名）
Bosnia	[3A]/'bOzniE/	n. 波斯尼亚；波士尼亚
Boston	[3A]/'bOstEn/	n. 波士顿（美国城市）
Bostonian	[0]/bO'stEunjEn	adj. 波士顿的
Botswana	[3A]/bO'tswB:nE/	n. 博茨瓦纳（非洲中南部国家）
Bourbon	[3A]/'bHDb(E)n; 'bJE-/'bKbEn	n. （法国的）波旁皇族；政治上之极端保守分子
Boyd	[3A]/bOid/	n. 博伊德（姓氏）
Boyle	[3A]/bOil/	n. 波义耳（17世纪英国物理学家、化学家）
Bradbury	[0]/'brAdbEri	n. 布拉德伯里（姓氏）
Bradford	[3A]/'brAdfEd/	n. 布拉德福德（英格兰北部城市）
Bradley	[3A]/'brAdli/	n. 布兰得利（男子名）
Brady	[3A]/'breidi/	n. 布雷迪（男子名）；贝迪（公司及其品牌名）
Bragg	[3A]/brAg/	n. 布拉格（姓氏）
Brahms	[3A]/bra:mz/	n. 布拉姆斯（姓氏）
Braille	[3A]//brel	vt. 用盲字印
Brandon	[0]/'brAndEn	n. 布兰登（男子名）
Brandt	[0]/brAnt	勃兰特
Brasilia	[3A]/brE'ziliE/	n. 巴西利亚（巴西首都）
Braun	[0]/braun	n. 布劳恩（姓氏）
Brazil	[3A]/brE'zil/	n. 巴西（拉丁美洲国家）
Brazilian	[3A]/brE'ziljEn/	adj. 巴西的；巴西人的
Breasted	[3A]/'brestid/	n. 布雷斯特德（姓氏）
Bremen	[3A]/'bremEn/	n. 不来梅港市（德国地名）
Brenda	[3A]/'brendE/	n. 布伦达（女子名）
Brent	[0]/brent	n. 布伦特（男子名）
Brest	[3A]/brest/	n. 布雷斯特（法国一座军港城市）
Breton	[0]/'bretEn	n. 布列塔尼人
Brett	[0]/bret	n. 布雷特（男子名）
Brian	[3A]/'braiEn/	n. 布莱恩（男子名）
Brice	[0]/brais	n. 布赖斯（男子名）
Bridgeport	[3A]/'bridGpO:t/	n. 布里奇波特（地名）
Bridget	[3A]/'bridGit/	n. 布丽奇特（女子名）；圣布里奇特（瑞典修女，布里奇特勋章的创立者）
Bridgetown	[3A]/'bridGtaun/	n. 布里奇顿（巴巴多斯首都）
Brie	[0]/bri:	n. 布里干酪（一种白色柔软的干酪）
Brighton	[3A]/'braItEn/'braItn	n. 布赖顿（英国南部城市）
Brisbane	[3A]/'brizbEn/	n. 布里斯班（澳大利亚东部城市）
Bristol	[3A]//'brIstl	n. 布里斯托尔（英国西部的港口城市）
Britain	[3A]/'brIt(E)n/'brItEn	n. 英国；不列颠
British	[3A]/'brItIF/'brItIF	adj. 英国的；英国人的；大不列颠的
Briton	[3A]/'britEn/	n. 英国人；大不列颠人
Brittany	[3A]/'britEni/	n. 布列塔尼（法国西北部一地区）
Broadway	[3A]/'brODdweI/	n. 百老汇（美国纽约市戏院集中的一条大街）
Broglie	[3A]/brO:'gli:/	德布罗意
Bronte	[0]/'brOnti	n. 勃朗特
Bronx	[3A]/brONks/	n. 布朗克斯（纽约市最北端的一区）；布朗克斯鸡尾酒
Brooke	[0]/bru:k	n. 布鲁克（女子名）
Brooklyn	[3A]/'bruklin/	n. 布鲁克林（美国纽约西南部的一区）
Brooks	[3A]/bruks/	n. 布鲁克斯（姓氏）
Brough	[0]/brRf	布拉夫（姓氏）
Browne	[3A]/braun/	n. 布朗（姓氏）；布朗恩（英国国防大臣）
Brownian	[3A]/brauniEn/	adj. 苏格兰的植物学家Robert Brown 的
Browns	[0]	n. 布朗一家（Brown的复数形式，表示姓氏为布朗的一家人）；布朗斯（姓氏）
Brownsville	[3A]/'braunzvil/	n. 布朗斯维尔（美国地名）
Bruce	[3A]/bru:s/	n. 布鲁斯（男名）
Bruno	[3A]/'bru:nEu/	n. 布鲁诺（男子名）
Brunswick	[3A]/'brRnzwik/	n. 不伦瑞克（德国东部城市）
Brussels	[3A]/'brRslz/	n. 布鲁塞尔（比利时首都）
Bryan	[3A]/'braiEn/	n. 布赖恩（男子名）
Bryant	[3A]/'braiEnt/	n. 布赖恩特（男子名，等于Brian）
Bucks	[0]/bRks	n. 雄鹿队（篮球队名）；巴克斯（英国伦敦附近的一个郡名）
Budapest	[3A]/'bju:dEpest/	n. 布达佩斯（匈牙利的首都）
Buddha	[3A]/'budE/	n. 佛陀；佛像
Buddhism	[3A]/'bJdIz(E)m/'bJdIzEm	n. 佛教
Buddhist	[0]/'budist	n. 佛教徒
Bulgaria	[3A]/bRl'ɡεEriE/	n. 保加利亚
Bunsen	[3A]/'bRnsn/	n. 本生（1811 - 1899，德国化学家）；本生灯
Burbank	[0]/'bE:bANk	n. 伯班克（位于美国加利福尼亚州洛杉矶县，毗邻好莱坞市）
Buri	[0]/bu:'ri:	n. 布利（男子名）
Burma	[3A]/'bE:mE/	n. 缅甸（东南亚国家）
Byrd	[3A]/bE:d/	n. 伯德（姓氏）
Byron	[3A]/'bairEn/	n. 拜伦（男子名）
Byronic	[3A]/bai'rOnik/	adj. 冷笑而浪漫的；拜伦的，拜伦风格的
Byzantine	[3A]/bi'zAntain; 'bizEntain/	adj. 拜占庭式的；东罗马帝国的
C	[3A]//si	symb. 碳（carbon）
CA	[0]	abbr. 首都航空公司（Capital Airlines Inc.）；碳酸酐酶（Carbonic Anhydrase）；中央航空公司（Central Airways）
CACA	[0]/ka'ka	abbr. 中国抗癌协会；水泥和混凝土协会（Cement and Concrete Association）
CAI	[0]/'si:,ei'ai	abbr. 计算机辅助教学（computer-aided instruction或computer-assisted instruction）；意大利登山俱乐部（Club Alpino Italiano）
CAL	[0]/kAl	abbr. 计算机辅助学习（Computer Assisted Learning）；平均计算寿命（Calculated Average Life）
CALI	[0]/'kB:li	abbr. 中国照明电器协会（China Association of Lighting Industry）
CAM	[0]/kAm	abbr. 计算机辅助制造（computer-aided manufacturing）；中央地址存储器（Central Address Memory）
CARDS	[0]/kB:dz	abbr. 卡片自动复制与发行系统（Card Automated Reproduction and Distribution System）；计算机辅助可靠性数据系统（Computer Aided Reliability Data System）
CASA	[0]/'kB:sE	abbr. 天文学高级研究中心（Centre for Advanced Study of Astronomy）；计算机与自动化系统（Computer and Automated System Association）；合作应用卫星A（Cooperative Application Satellite A）
CASS	[0]/kAs	abbr. 货物财务结算系统（Cargo Account Settlement System）；指令主动声纳浮标系统（Commanded Active Sonobuoy System）
CATS	[0]/kAt	abbr. 高级电视研究中心（Centre for Advanced Television Studies）；计算机自动测试系统（Computer Automated Test System）；通信和跟踪系统（Communications and Tracking System）；综合分析试验系统（Comprehensive Analytical Test System）
CB	[3A]/,si: 'bi:/	abbr. 民用波段电台（citizens band）；集水池（Catch Basin）；人口调查局（Census Bureau）；断路开关（Circuit Breaker）
CBS	[0]/,si: bi: 'es	abbr. 哥伦比亚广播公司（Columbia Broadcasting System）；共电式振铃设备（Central Battery Signalling）
CCTV	[0]/,si: si: ti: 'vi:	abbr. 闭路电视（Closed Circuit Television）；中国中央电视台（China Central Television）
CD	[0]/,si: 'di:	abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
CE	[0]/,si: 'i	abbr. 化学工程师（Chemical Engineer）；总工程师（Chief Engineer）；土木工程师（Civil Engineer）；英国国教（Church of England）；欧洲理事会（Council of Europe）
CERN	[0]/sE:n	abbr. 欧洲核子研究委员会（Conseil Europeen pour la Recherche Nucleaire）
CF	[0]/,si:'ef	abbr. 囊性纤维变性（cystic fibrosis）；寻线机（Call Finder）；无载体的（Carrier-Free）
CFC	[0]/,si: ef 'si:	abbr. 中央发射控制（Central Fire Control）；全套设备控制台（Complex Facility Console）；统一运费分类表（Consolidated Freight Classification）；认证理财顾问师（ertified Financial Consultant）
CGI	[0]/,si: dGi: 'ai	abbr. [计] 公共网关接口（Common Gateway Interface）；电脑图像界面（Computer Graphics Interface）
CI	[0]/'fju:kEsai	abbr. 铸铁（Cast Iron）
CID	[0]/,si: ai 'di:	abbr. 国际开发委员会（Commission for International Development）；英国刑事调查局（Criminal Investigation Department）
CIF	[0]/'si'ai'ef	abbr. 到岸价（Cost Insurance and Freight）
CISC	[0]/sisk	abbr. 复杂指令集电脑（complex instruction set computer）；复杂指令集计算（Complex Instruction Set Computing）
CNN	[0]/,si: en 'en	abbr. 美国有线电视新闻网络（Cable News Network）
COBOL	[3A]/'kEubOl/	abbr. 面向商业的通用语言（Common Business - Oriented Language）
COMDEX	[0]/'kOmdeks	abbr. 计算机分销商展览（Computer Distributor Exph）
CONS	[0]/kOns	abbr. 面向连接的网络服务（Connection Oriented Network Service）
COO	[0]/ku	abbr. 首席运营官（Chief Operating Officer）
CPI	[0]/'si 'pI 'ai	n. 消费物价指数的英文缩写（Consumer Price Index）
CQ	[0]/'si:'kju:	abbr. 内务值班（charge of quarters）；广播开始信号（Call to Quarters）
CS	[0]/'si:,es	abbr. 反恐精英（Counter-Strike）；碳钢（Carbon Steel）；文职人员（Civil Service）
CST	[0]/'si 'Cs 'ti	abbr. （美）中央时区（Central Standard Time）
CV	[0]/,si: 'vi:	abbr. 简历（Curriculum Vitae）
CY	[0]/sai	abbr. 日历年度（calendar year）
CYC	[0]/saik	abbr. 环已酮；成本均线
Cabot	[3A]/'kAbEt/	n. 卡伯特（意大利航海家，北美大陆的发现者）
Cadillac	[0]/'kAdilAk	n. 卡迪拉克（北美洲法国总督，底特律的创立者）；卡迪拉克（高级轿车名）
Caesar	[0]/'si:zE	n. 凯撒（罗马皇帝）；暴君；人间的主宰；剖腹产手术
Cairo	[3A]/'kaiErEu/	n. 开罗（埃及首都）
Cajun	[0]/'keidGEn	n. 法人后裔（移居美国路易斯安纳州的）
Calais	[0]/'kAlei	n. 加来（法国城市）；卡莱斯牌汽车
Calcutta	[3A]/kAl'kRtE/	n. 加尔各答（印度城市）
Calder	[3A]/'kO:ldE/	n. 考尔德（姓氏）
Caldwell	[3A]/'kO:ldwEl/	n. 考德威尔（姓氏）；考德威尔（地名）
Caleb	[0]/'keileb	n. 迦勒（男子名）；卡莱布（手表品牌）；“天狗”发射装置
Calgary	[3A]/'kAlɡEri/	n. 卡尔加里（加拿大西南部城市）
Calif	[0]/'kAlif	n. 哈里发（伊斯兰教的国王）
California	[3A]/,kAli'fO:njE/	n. 加利福尼亚（美国一个州）
Californian	[3A]/,kAli'fO:njEn/	adj. 加州的；加利福尼亚的
Caltech	[0]/'kAl'tek	n. 加利福尼亚理工学院
Calvary	[3A]//'kAlvEri	n. 骷髅地（耶稣被钉上十字架的地方）；基督于十字架上之受难像
Calvert	[3A]/'kAlvE(:)t/	n. 卡尔弗特（姓氏）
Calvinist	[0]/'kAlvinist	n. 加尔文教徒
Calypso	[3A]/kE'lIpsEJ/kE'lIpso	n. 海中女神（荷马《奥德赛》中人物）
Cambo	[0]/'kAmbEu	n. 柬埔寨人
Cambodia	[3A]/'kAmbEudiE/	n. 柬埔寨（位于亚洲）
Cambodian	[3A]/kAm'bEJdIEn/	n. 柬埔寨人（高棉人）；柬埔寨语
Cambrian	[3A]/'kAmbriEn/	n. 威尔士人；寒武纪或系
Cambridge	[3A]/'keimbridG/	n. 剑桥（英国城市）；坎布里奇（美国马萨诸塞州城市）
Camden	[3A]/'kAmdEn/	n. 卡姆登（姓）
Camelot	[3A]//'kAmElBt	n. 卡米洛特（英国传说中亚瑟王的宫殿所在之地）
Cameron	[3A]/'kAmErEn/	n. 卡梅伦/隆（男子名）
Cameroon	[3A]/,kAmE'ru:n; 'kAm-/	n. 喀麦隆（西非国名）
Campbell	[3A]/'kAmbel/	n. 坎贝尔（姓氏）
Cana	[3A]/'keinE/	n. 迦南（巴勒斯坦北部的一个村庄）
Canaan	[3A]/'keinEn/	n. 迦南；乐土
Canada	[3A]/'kAnEdE/'kAnEdE	n. 加拿大（北美洲国家）
Canadian	[3A]/kE'neIdIEn/kE'nedIEn	adj. 加拿大（人）的
Canberra	[3A]//'kAnbErE	n. 堪培拉（澳大利亚的首都）
Cancun	[0]/kAn'ku:n	n. 坎昆（城市名）
Candace	[0]/'kAndis; 'kAndEsi:; kAn'deisi	n. 坎迪斯（男名）
Canis	[0]/'kenIs	n. [脊椎] 犬属
Canon	[0]/'kAnEn	n. 标准；教规；正典圣经；教士
Canton	[3A]/'kAntEn(E)l; kAn'tEJn(E)l/'kAntEn	n. 广州（旧称）
Capitol	[3A]//'kApItl	n. 美国国会大厦；（美国）州议会大厦
Capitoline	[3A]/'kApitElain/	adj. 朱庇特神殿的；朱庇特山的
Cara	[0]/'kArE	n. 卡拉（女性人名）
Caracas	[3A]/kE'rAkEs/	n. 加拉加斯（委内瑞拉首都）
Cardiff	[3A]/'kB:dif/	n. 加的夫（英国港市）
Carey	[0]/'kεEri; 'kAri	n. 凯里（等于Cary）
Carib	[3A]/'kArib/	n. 加勒比人（南美洲东北部的印第安人）；加勒比语
Carina	[3A]/kE'raInE; -'riD-/kE'raInE	n. 船底星座
Carl	[0]/kB:l	n. 卡尔（男名）
Carla	[0]/'kB:lE	n. 卡拉（女子名）
Carlisle	[3A]/kB:'lail/	n. 卡莱尔（英国英格兰西北部城市）
Carlos	[3A]/'ka:lOs/	n. 卡洛斯（男子名）
Carlton	[0]/'ka:ltEn	n. 卡尔顿（男子名，姓氏）
Carlyle	[3A]/kB:'lail/	n. 卡莱尔（男子名）
Carme	[0]/'kB:mi:	n. [天] 木卫十一
Carmen	[0]/'kB:mEn	n. 卡门（女子名）
Carnegie	[3A]/ka:'negi/	n. 卡内基（姓氏）
Carolina	[3A]/,kArE'lainE/	n. 卡罗莱纳州（在美国东南部）
Caroline	[3A]//'kArE,laIn	n. 凯若琳（女子名）
Carolyn	[3A]/'kArElin/	n. 卡洛琳（女子名）
Carr	[0]/kBD	n. 凯尔（挪威，住在沼泽的人）
Carrie	[0]/'kAri:	n. 卡丽（女名，Caroline的昵称）
Carson	[3A]/'kB:sEn/	n. 卡尔森（姓氏，男子名）
Carter	[3A]/'kBDtE/'kBrtM	n. 卡特（男子名）
Carthage	[3A]/'kB: ZidG/	n. 迦太基（古代一国家）
Cary	[3A]/'kεEri:; 'kAri:/	n. 卡里（男子名）
Casey	[0]/'keisi:	n. 凯西（男子名）
Caspian	[0]/'kAspIEn	adj. 里海的（世界最大的咸水湖）
Cassius	[0]/'kAsiEs	n. 卡西乌斯（罗马共和国末期的将领）
Catalan	[3A]/'kAtElEn/	n. 加泰罗尼亚语
Catalonia	[3A]/,kAtE'lEuniE/	n. 加泰罗尼亚（西班牙东北地方）
Cather	[3A]/'kATE/	n. 卡瑟（姓氏）
Catherine	[3A]/'kAZErin/	n. 凯瑟琳（女子名）
Catholic	[2B]/'kAZlIk	adj. 天主教的；宽宏大量的
Catholicism	[3A]/kE'ZOlisizEm/	n. 天主教；天主教义
Cathy	[0]/'kAZi:	n. 凯茜（女子名）
Caucasus	[3A]/'kO:kEsEs/	n. 高加索（俄罗斯南部地区，位于黑海和里海之间，等于Caucasia）；高加索山脉（等于the Caucasus Mountains）
Cayuga	[3A]/kei'ju:ɡE/	n. 卡尤加族；卡尤加人；卡育加语
Cecil	[3A]/'sesEl; 'sisEl/	n. 塞西尔（男子名）
Cecilia	[3A]/si'siljE/	n. 塞西莉亚（女子名）
Cedric	[0]/'sedrik; 'si:drik	n. 塞德里克（男子名）
Celebes	[3A]/'selEbi:z/	n. 西里伯斯岛（印尼苏拉威西岛之旧称）
Celia	[0]/'si:ljE	n. 西莉亚（女子名）
Celsius	[3A]//'sClsIEs	adj. 摄氏的
Celt	[3A]/selt/	n. 凯尔特人
Celtic	[3A]//'kCltIk	adj. 凯尔特人的；凯尔特语的
Centralia	[0]/sen'treiliE	n. 澳大利亚中部偏远地区
Ceres	[3A]/'siEri:z/	n. 刻瑞斯（谷类的女神）
Cetus	[3A]//'sitEs	n. [天] 鲸鱼座
Ceylon	[3A]//sI'lBn	n. 锡兰（印度以南一岛国，现以更名为斯里兰卡Srilanka）
Chadwick	[3A]/'tFAdwik/	n. 查德威克（姓氏）
Chambers	[0]/'tFembM	n. 钱伯斯（姓氏）
Chanel	[0]/FE'nCl	n. 香奈儿（服装、香水品牌）
Chaplin	[0]/'tFAplin	n. 卓别林（喜剧演员）
Chari	[3A]/FB'ri:/	n. （法）沙里河（非洲中部一河流，等于Shari）
Charlene	[0]/FB:'li:n	n. 沙琳（女子名）
Charles	[0]/tFB:lz	n. 查尔斯（人名）
Charleston	[3A]/'tFa:lstEn/	n. 查尔斯顿（美国西弗吉尼亚州首府）
Charlie	[0]/'tFBrli	n. 查理（男子名）
Charon	[3A]//'kCrEn	n. 摆渡的船夫；冥府渡神
Chartres	[3A]/'FB:trE/	n. 沙特尔（法国博斯的首府）
